Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Avgångselever, nationella program (fr.o.m. 2013/14)
Valt läsår: 2024/25

;;;;;;;;;;;;;;;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;
Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Program;Totalt antal;Andel (%) med examen;Andel (%) med studiebevis;Andel (%) med grundl. behörighet;Andel (%) med utökat prog.;GBP för elever med examen eller studiebevis;GBP för elever med examen;Eng 5;Historia 1;Idrott 1;Ma 1;Na 1;Re 1;Sam 1;Sv 1;Sv andraspr. 1;Gymnarb.;
Elof Lindälvs Gymnasium Enhet 1;87262566;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Försäljnings- och serviceprogrammet;15;86,7;..;..;..;13,6;14,4;100,0;100,0;100,0;93,3;..;93,3;66,7;100,0;.;93,3;
Elof Lindälvs Gymnasium Enhet 1;87262566;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Barn- och fritidsprogrammet;..;..;.;.;.;..;..;..;..;..;..;..;..;..;..;.;..;
Elof Lindälvs Gymnasium Enhet 1;87262566;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Bygg- och anläggningsprogrammet;12;100,0;.;..;..;13,9;13,9;100,0;100,0;100,0;100,0;91,7;100,0;91,7;100,0;.;100,0;
Elof Lindälvs Gymnasium Enhet 2;64160122;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Nationella program;151;86,8;13,2;86,8;..;12,5;13,1;100,0;75,5;100,0;98,7;98,7;93,4;96,7;98,7;.;96,7;
Elof Lindälvs Gymnasium Enhet 2;64160122;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Högskoleförberedande program;151;86,8;13,2;86,8;..;12,5;13,1;100,0;75,5;100,0;98,7;98,7;93,4;96,7;98,7;.;96,7;
Elof Lindälvs Gymnasium Enhet 2;64160122;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Ekonomiprogrammet;151;86,8;13,2;86,8;..;12,5;13,1;100,0;75,5;100,0;98,7;98,7;93,4;96,7;98,7;.;96,7;
Elof Lindälvs Gymnasium Enhet 3;48217580;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Högskoleförberedande program;28;100,0;.;100,0;..;14,8;14,8;100,0;100,0;100,0;100,0;.;100,0;100,0;100,0;..;100,0;
Elof Lindälvs Gymnasium Enhet 3;48217580;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Teknikprogrammet;28;100,0;.;100,0;..;14,8;14,8;100,0;100,0;100,0;100,0;.;100,0;100,0;100,0;..;100,0;
Elof Lindälvs Gymnasium Enhet 3;48217580;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Nationella program;83;95,2;..;88,0;65,1;13,6;14,0;100,0;81,9;100,0;98,8;100,0;89,2;100,0;100,0;..;96,4;
Elof Lindälvs Gymnasium Enhet 3;48217580;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;El- och energiprogrammet;55;92,7;..;81,8;85,5;13,0;13,6;100,0;72,7;100,0;98,2;100,0;83,6;100,0;100,0;.;94,5;
Elof Lindälvs Gymnasium Enhet 3;48217580;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Yrkesprogram;55;92,7;..;81,8;85,5;13,0;13,6;100,0;72,7;100,0;98,2;100,0;83,6;100,0;100,0;.;94,5;
Elof Lindälvs Gymnasium Enhet 4;41844601;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Hotell- och turismprogrammet;16;75,0;..;..;..;13,6;15,1;100,0;..;93,8;81,3;100,0;93,8;100,0;100,0;.;87,5;
Elof Lindälvs Gymnasium Enhet 4;41844601;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Nationella program;23;73,9;..;..;..;13,6;14,8;100,0;60,9;95,7;78,3;100,0;95,7;95,7;100,0;.;91,3;
Elof Lindälvs Gymnasium Enhet 4;41844601;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Restaurang- och livsmedelsprogrammet;..;..;..;.;.;..;..;..;..;..;..;..;..;..;..;.;..;
Elof Lindälvs Gymnasium Enhet 4;41844601;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Yrkesprogram;23;73,9;..;..;..;13,6;14,8;100,0;60,9;95,7;78,3;100,0;95,7;95,7;100,0;.;91,3;
