LÄNSKOD;LÄN;KOMMUNKOD;KOMMUN;LOKALID;LOKAL;2022-08-24 00:00:00;2022-08-25 00:00:00;2022-08-26 00:00:00;2022-08-27 00:00:00;2022-08-28 00:00:00;2022-08-29 00:00:00;2022-08-30 00:00:00;2022-08-31 00:00:00;2022-09-01 00:00:00;2022-09-02 00:00:00;2022-09-03 00:00:00;2022-09-04 00:00:00;2022-09-05 00:00:00;2022-09-06 00:00:00;2022-09-07 00:00:00;2022-09-08 00:00:00;2022-09-09 00:00:00;2022-09-10 00:00:00;2022-09-11 00:00:00;TOTAL
01;Stockholms län;62;Danderyd;100007429;Danderyds sjukhus;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;11
01;Stockholms län;62;Danderyd;100007430;Enebybergs bibliotek;75;57;56;25;0;91;86;76;59;70;80;0;172;125;183;113;173;183;0;1624
01;Stockholms län;62;Danderyd;100007431;Djursholms bibliotek;113;103;92;78;0;136;118;121;107;142;135;0;240;180;191;244;265;243;0;2508
01;Stockholms län;62;Danderyd;100007432;Svalnäs äldreboende;0;0;0;0;0;0;0;0;0;0;0;0;92;0;0;0;0;0;0;92
01;Stockholms län;62;Danderyd;100007433;Annebergsgården;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;8
01;Stockholms län;62;Danderyd;100007434;Stocksundsgården;0;0;0;0;0;0;0;0;0;0;0;16;0;97;0;0;0;0;0;113
01;Stockholms län;62;Danderyd;100025254;Villa Odinslund;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;15
01;Stockholms län;63;Sollentuna;100007435;Stinsen köpcentrum;181;193;163;133;174;172;183;191;204;222;224;380;257;267;333;387;523;737;0;4924
01;Stockholms län;63;Sollentuna;100007436;Sollentuna Centrum, plan 5;383;393;290;210;321;341;374;368;374;405;485;646;572;595;686;832;907;1169;860;10211
01;Stockholms län;63;Sollentuna;100007437;Helenelunds centrum;0;0;0;0;0;110;93;105;114;124;0;0;167;180;188;230;313;0;0;1624
01;Stockholms län;63;Sollentuna;100007438;Rotebro Centrum;0;0;0;0;0;158;117;120;106;134;0;0;165;201;237;269;352;0;0;1859
01;Stockholms län;63;Sollentuna;100007439;Arena Edsberg;0;0;0;0;0;204;141;115;129;111;0;0;190;203;210;247;348;0;0;1898
01;Stockholms län;63;Sollentuna;100074442;Arena Satelliten;0;0;0;0;0;0;0;0;0;0;0;0;139;176;204;260;321;670;0;1770
01;Stockholms län;63;Sollentuna;100081781;Häktet Sollentuna;0;0;0;0;0;0;0;0;0;0;0;0;73;0;0;0;71;0;0;144
01;Stockholms län;80;Stockholm;100007441;Stadsbiblioteket;483;376;338;226;268;390;405;409;398;393;398;641;769;930;1047;1134;1174;972;0;10751
01;Stockholms län;80;Stockholm;100007442;Fruängstorget;279;392;359;194;200;410;544;351;360;412;367;394;648;690;803;903;983;607;0;8896
01;Stockholms län;80;Stockholm;100007444;Björkhagens bibliotek/Skarpnäcks SDF;161;160;69;0;95;164;124;117;135;116;0;244;326;225;315;440;421;0;0;3112
01;Stockholms län;80;Stockholm;100007445;Skarpnäcks bibliotek;119;100;0;55;0;131;79;127;114;0;154;0;244;160;364;307;0;414;0;2368
01;Stockholms län;80;Stockholm;100007446;Gubbängens bibliotek;160;147;0;0;171;171;0;238;155;262;0;262;295;0;425;406;0;0;0;2692
01;Stockholms län;80;Stockholm;100007447;Farsta bibliotek;436;404;372;199;219;445;358;466;407;495;409;451;785;718;915;1026;1115;716;536;10472
01;Stockholms län;80;Stockholm;100007450;Servicehuset Pilträdet;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;46
01;Stockholms län;80;Stockholm;100007451;Axelsbergs vård- och omsorgsboende;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;0;71
01;Stockholms län;80;Stockholm;100007452;Blomsterfonden Röda Bergen;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;40
01;Stockholms län;80;Stockholm;100007453;Väderkvarnens vob/servicehus;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;38
01;Stockholms län;80;Stockholm;100007454;Suomikoti finskt äldrecentrum;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;8
01;Stockholms län;80;Stockholm;100007455;Medborgarkontoret för hemlösa;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;19
01;Stockholms län;80;Stockholm;100007456;Tensta bibliotek;81;84;56;45;35;91;72;74;76;74;66;76;163;154;207;236;381;431;0;2402
01;Stockholms län;80;Stockholm;100007457;Skolörtens servicehus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;26
01;Stockholms län;80;Stockholm;100007459;Östermalms bibliotek;527;444;345;269;318;519;414;548;523;497;409;467;863;747;981;1016;995;652;506;11040
01;Stockholms län;80;Stockholm;100007460;Hornstulls bibliotek;400;353;294;195;0;421;288;416;332;350;365;0;734;656;840;966;993;579;0;8182
01;Stockholms län;80;Stockholm;100007463;Sköndals bibliotek;106;118;0;84;0;127;0;120;145;0;149;0;236;0;275;270;0;385;0;2015
01;Stockholms län;80;Stockholm;100007464;Hagsätra bibliotek;110;102;101;0;80;0;0;176;90;128;0;199;0;0;422;263;387;0;0;2058
01;Stockholms län;80;Stockholm;100007465;Högdalens bibliotek;325;280;223;152;144;288;249;320;280;347;242;297;524;544;732;794;913;487;0;7141
01;Stockholms län;80;Stockholm;100007468;Lindegårds profilboende;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;14
01;Stockholms län;80;Stockholm;100007469;Nockebyhöjdens vård- och omsorgsb.;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21
01;Stockholms län;80;Stockholm;100007470;Högdalens vård- och omsorgsboende;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;34
01;Stockholms län;80;Stockholm;100007471;Blomsterfonden Körsbärsvägen;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;31
01;Stockholms län;80;Stockholm;100007476;Borgerskapets vård- och omsorgsboend;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28
01;Stockholms län;80;Stockholm;100007477;Fruängsgården/ Axgården;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66
01;Stockholms län;80;Stockholm;100007478;Hemmet för gamla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;18
01;Stockholms län;80;Stockholm;100007479;Vallgossen Stift. Stockholms sjukhem;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;29
01;Stockholms län;80;Stockholm;100007480;Birger Jarl vård- och omsorgsboende;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;21
01;Stockholms län;80;Stockholm;100007481;Bredängs bibliotek;86;118;96;74;74;155;112;134;119;154;97;130;251;198;244;315;464;418;0;3239
01;Stockholms län;80;Stockholm;100007482;Skärholmens bibliotek;133;118;126;101;93;154;120;169;145;168;126;205;309;310;354;462;608;464;424;4589
01;Stockholms län;80;Stockholm;100007484;Josephinahemmet;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;18
01;Stockholms län;80;Stockholm;100007485;Fredhällshusen SVPH;0;0;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;58
01;Stockholms län;80;Stockholm;100007486;Kista bibliotek;184;182;164;122;138;209;214;207;238;251;232;299;387;417;506;627;841;642;1165;7025
01;Stockholms län;80;Stockholm;100007487;Stockholms central, Centralhallen;415;366;351;177;223;399;392;379;456;465;359;391;720;812;1063;1287;1445;1378;1985;13063
01;Stockholms län;80;Stockholm;100007488;Rågsveds medborgarkontor;44;27;42;0;0;46;40;34;36;45;0;0;77;97;132;115;134;258;0;1127
01;Stockholms län;80;Stockholm;100007489;Koppargården/Attendo Bättringsv.;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44
01;Stockholms län;80;Stockholm;100007490;Blomsterfonden Ringvägen;138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138
01;Stockholms län;80;Stockholm;100007492;Hägerstensåsens Medborgarhus;139;121;108;0;0;156;127;147;131;144;0;0;249;298;356;416;626;0;0;3018
01;Stockholms län;80;Stockholm;100007493;Stora Sköndal Villa Skönviken;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;29
01;Stockholms län;80;Stockholm;100007494;Stora Sköndal Villa Magnolia;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;34
01;Stockholms län;80;Stockholm;100007495;Stureby vård- och omsorgsboende;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;29
01;Stockholms län;80;Stockholm;100007496;Stora Sköndal Solgården;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;18
01;Stockholms län;80;Stockholm;100007497;Kungsholmens bibliotek;494;477;361;217;266;423;330;458;380;432;331;442;739;698;900;951;938;552;0;9389
01;Stockholms län;80;Stockholm;100007500;Stadshuset;260;253;217;0;0;290;296;275;256;307;0;0;447;527;526;517;571;347;0;5089
01;Stockholms län;80;Stockholm;100007502;Skärholmens medborgarkontor;27;32;63;0;0;68;60;58;69;49;0;0;114;114;108;128;167;0;0;1057
01;Stockholms län;80;Stockholm;100007503;Kulltorps vård- och omsorgsboende;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19
01;Stockholms län;80;Stockholm;100007508;Eriksdalsbadet;181;147;127;143;127;165;149;135;152;171;210;391;281;342;389;416;635;552;729;5442
01;Stockholms län;80;Stockholm;100007509;Hässelby gårds Bibbleria;121;148;84;61;0;105;167;120;121;67;121;0;138;321;253;273;219;336;0;2655
01;Stockholms län;80;Stockholm;100007510;Brahem Vård- och omsorgsboende;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25
01;Stockholms län;80;Stockholm;100007511;Postiljonens vård- och omsorgsboende;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;19
01;Stockholms län;80;Stockholm;100007512;Norra Stockholms psykiatri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0;55
01;Stockholms län;80;Stockholm;100007513;Humana Sjöstadsgården;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;19
